"Name","Child Poverty by Race/Ethnicity"
"Description","Children under 18 years in households with incomes below the Federal Poverty Level (FPL) by race and ethnicity. Racial/ethnic groups are defined as follows: White = non-Latino White alone, Black = non-Latino Black alone, Asian = non-Latino Asian or Pacific Islander alone, Latino = Latino of any race. Due to small sample sizes in smaller geographies, data are presented in 3-year averages; 2019 = 2017-2019 3-year average."
Canarsie,Black,2018,Percent,0.104,318
Canarsie,Asian,2018,Percent,0.165,318
Canarsie,Latino,2018,Percent,0.289,318
Canarsie,All Races and Ethnicities,2018,Percent,0.12,318
Astoria,White,2018,Percent,0.108,401
Astoria,Black,2018,Percent,0.137,401
Astoria,Asian,2018,Percent,0.22,401
Astoria,Latino,2018,Percent,0.256,401
Astoria,All Races and Ethnicities,2018,Percent,0.171,401
Sunnyside/Woodside,White,2018,Percent,0.08,402
Sunnyside/Woodside,Black,2018,Percent,0,402
Sunnyside/Woodside,Asian,2018,Percent,0.141,402
Sunnyside/Woodside,Latino,2018,Percent,0.079,402
Sunnyside/Woodside,All Races and Ethnicities,2018,Percent,0.102,402
Jackson Heights,White,2018,Percent,0.09,403
Jackson Heights,Black,2018,Percent,0.016,403
Jackson Heights,Asian,2018,Percent,0.15,403
Jackson Heights,Latino,2018,Percent,0.266,403
Jackson Heights,All Races and Ethnicities,2018,Percent,0.222,403
Elmhurst/Corona,White,2018,Percent,0.267,404
Elmhurst/Corona,Black,2018,Percent,0.091,404
Elmhurst/Corona,Asian,2018,Percent,0.169,404
Elmhurst/Corona,Latino,2018,Percent,0.236,404
Elmhurst/Corona,All Races and Ethnicities,2018,Percent,0.209,404
Ridgewood/Glendale,White,2018,Percent,0.058,405
Ridgewood/Glendale,Black,2018,Percent,0,405
Ridgewood/Glendale,Asian,2018,Percent,0.052,405
Ridgewood/Glendale,Latino,2018,Percent,0.14,405
Ridgewood/Glendale,All Races and Ethnicities,2018,Percent,0.101,405
Rego Park/Forest Hills,White,2018,Percent,0.101,406
Rego Park/Forest Hills,Black,2018,Percent,0,406
Rego Park/Forest Hills,Asian,2018,Percent,0.08,406
Rego Park/Forest Hills,Latino,2018,Percent,0.085,406
Rego Park/Forest Hills,All Races and Ethnicities,2018,Percent,0.083,406
Flushing,White,2018,Percent,0.077,407
Flushing,Black,2018,Percent,0.176,407
Flushing,Asian,2018,Percent,0.222,407
Flushing,Latino,2018,Percent,0.092,407
Flushing,All Races and Ethnicities,2018,Percent,0.157,407
Fresh Meadows/Briarwood,White,2018,Percent,0.128,408
Fresh Meadows/Briarwood,Black,2018,Percent,0.056,408
Fresh Meadows/Briarwood,Asian,2018,Percent,0.153,408
Fresh Meadows/Briarwood,Latino,2018,Percent,0.172,408
Fresh Meadows/Briarwood,All Races and Ethnicities,2018,Percent,0.157,408
Woodhaven,White,2018,Percent,0.155,409
Woodhaven,Black,2018,Percent,0.036,409
Woodhaven,Asian,2018,Percent,0.242,409
Woodhaven,Latino,2018,Percent,0.158,409
Woodhaven,All Races and Ethnicities,2018,Percent,0.168,409
Howard Beach,White,2018,Percent,0.017,410
Howard Beach,Black,2018,Percent,0.073,410
Howard Beach,Asian,2018,Percent,0.141,410
Howard Beach,Latino,2018,Percent,0.193,410
Howard Beach,All Races and Ethnicities,2018,Percent,0.126,410
Bayside,White,2018,Percent,0.05,411
Bayside,Black,2018,Percent,0,411
Bayside,Asian,2018,Percent,0.114,411
Bayside,Latino,2018,Percent,0.076,411
Bayside,All Races and Ethnicities,2018,Percent,0.086,411
Jamaica/St. Albans,White,2018,Percent,0.28,412
Jamaica/St. Albans,Black,2018,Percent,0.087,412
Jamaica/St. Albans,Asian,2018,Percent,0.223,412
Jamaica/St. Albans,Latino,2018,Percent,0.28,412
Jamaica/St. Albans,All Races and Ethnicities,2018,Percent,0.15,412
Queens Village,White,2018,Percent,0.105,413
Queens Village,Black,2018,Percent,0.118,413
Queens Village,Asian,2018,Percent,0.061,413
Queens Village,Latino,2018,Percent,0.146,413
Queens Village,All Races and Ethnicities,2018,Percent,0.11,413
The Rockaways,White,2018,Percent,0.063,414
The Rockaways,Black,2018,Percent,0.326,414
The Rockaways,Asian,2018,Percent,0.092,414
The Rockaways,Latino,2018,Percent,0.347,414
The Rockaways,All Races and Ethnicities,2018,Percent,0.245,414
St. George,White,2018,Percent,0.126,501
St. George,Black,2018,Percent,0.384,501
St. George,Asian,2018,Percent,0.147,501
St. George,Latino,2018,Percent,0.34,501
St. George,All Races and Ethnicities,2018,Percent,0.275,501
South Beach,White,2018,Percent,0.069,502
South Beach,Black,2018,Percent,0.551,502
South Beach,Asian,2018,Percent,0.254,502
South Beach,Latino,2018,Percent,0.355,502
South Beach,All Races and Ethnicities,2018,Percent,0.177,502
Tottenville,White,2018,Percent,0.078,503
Tottenville,Black,2018,Percent,0,503
Tottenville,Asian,2018,Percent,0.087,503
Tottenville,Latino,2018,Percent,0.152,503
Tottenville,All Races and Ethnicities,2018,Percent,0.087,503
Bronx,White,2018,Percent,0.263,36005
Bronx,Black,2018,Percent,0.363,36005
Bronx,Asian,2018,Percent,0.318,36005
Bronx,Latino,2018,Percent,0.429,36005
Bronx,All Races and Ethnicities,2018,Percent,0.398,36005
Brooklyn,White,2018,Percent,0.254,36047
Brooklyn,Black,2018,Percent,0.238,36047
Brooklyn,Asian,2018,Percent,0.25,36047
Brooklyn,Latino,2018,Percent,0.344,36047
Brooklyn,All Races and Ethnicities,2018,Percent,0.264,36047
Manhattan,White,2018,Percent,0.038,36061
Manhattan,Black,2018,Percent,0.456,36061
Manhattan,Asian,2018,Percent,0.151,36061
Manhattan,Latino,2018,Percent,0.356,36061
Manhattan,All Races and Ethnicities,2018,Percent,0.229,36061
Queens,White,2018,Percent,0.088,36081
Queens,Black,2018,Percent,0.134,36081
Queens,Asian,2018,Percent,0.163,36081
Queens,Latino,2018,Percent,0.199,36081
Queens,All Races and Ethnicities,2018,Percent,0.154,36081
Staten Island,White,2018,Percent,0.084,36085
Staten Island,Black,2018,Percent,0.401,36085
Staten Island,Asian,2018,Percent,0.187,36085
Staten Island,Latino,2018,Percent,0.305,36085
Staten Island,All Races and Ethnicities,2018,Percent,0.185,36085
New York City,White,2018,Percent,0.163,3651000
New York City,Black,2018,Percent,0.273,3651000
New York City,Asian,2018,Percent,0.196,3651000
New York City,Latino,2018,Percent,0.337,3651000
New York City,All Races and Ethnicities,2018,Percent,0.253,3651000
Battery Park/Tribeca,All Races and Ethnicities,2019,Number,231.40253,101
Greenwich Village,All Races and Ethnicities,2019,Number,341.59747,102
Lower East Side,All Races and Ethnicities,2019,Number,7837,103
Chelsea/Clinton,All Races and Ethnicities,2019,Number,1185.61339,104
Midtown Business District,All Races and Ethnicities,2019,Number,593.38661,105
Murray Hill/Stuyvesant,All Races and Ethnicities,2019,Number,411,106
Upper West Side,All Races and Ethnicities,2019,Number,1838,107
Upper East Side,All Races and Ethnicities,2019,Number,1462,108
Manhattanville,All Races and Ethnicities,2019,Number,4541,109
Central Harlem,All Races and Ethnicities,2019,Number,9751,110
East Harlem,All Races and Ethnicities,2019,Number,8794,111
Washington Heights,All Races and Ethnicities,2019,Number,7604,112
Mott Haven,All Races and Ethnicities,2019,Number,13571.49591,201
Hunts Point,All Races and Ethnicities,2019,Number,7749.50409,202
Morrisania,All Races and Ethnicities,2019,Number,10793.2864,203
Concourse/Highbridge,All Races and Ethnicities,2019,Number,16239,204
University Heights,All Races and Ethnicities,2019,Number,18206,205
East Tremont,All Races and Ethnicities,2019,Number,11267.7136,206
Bedford Park,All Races and Ethnicities,2019,Number,16095,207
Riverdale,All Races and Ethnicities,2019,Number,7081,208
Unionport/Soundview,All Races and Ethnicities,2019,Number,15978,209
Throgs Neck,All Races and Ethnicities,2019,Number,3021,210
Pelham Parkway,All Races and Ethnicities,2019,Number,4833,211
Williamsbridge,All Races and Ethnicities,2019,Number,7850,212
Williamsburg/Greenpoint,All Races and Ethnicities,2019,Number,12527,301
Fort Greene/Brooklyn Hts,All Races and Ethnicities,2019,Number,4609,302
Bedford Stuyvesant,All Races and Ethnicities,2019,Number,11979,303
Bushwick,All Races and Ethnicities,2019,Number,9726,304
East New York,All Races and Ethnicities,2019,Number,13077,305
Park Slope,All Races and Ethnicities,2019,Number,1799,306
Sunset Park,All Races and Ethnicities,2019,Number,7912,307
Crown Heights North,All Races and Ethnicities,2019,Number,6348,308
Crown Heights South,All Races and Ethnicities,2019,Number,6099,309
Bay Ridge,All Races and Ethnicities,2019,Number,4355,310
Bensonhurst,All Races and Ethnicities,2019,Number,9443,311
Borough Park,All Races and Ethnicities,2019,Number,21056,312
Coney Island,All Races and Ethnicities,2019,Number,7745,313
Flatbush/Midwood,All Races and Ethnicities,2019,Number,5320,314
Sheepshead Bay,All Races and Ethnicities,2019,Number,5088,315
Brownsville,All Races and Ethnicities,2019,Number,10704,316
East Flatbush,All Races and Ethnicities,2019,Number,4203,317
Canarsie,All Races and Ethnicities,2019,Number,6571,318
Astoria,All Races and Ethnicities,2019,Number,4047,401
Sunnyside/Woodside,All Races and Ethnicities,2019,Number,2095,402
Jackson Heights,All Races and Ethnicities,2019,Number,7527,403
Elmhurst/Corona,All Races and Ethnicities,2019,Number,5029,404
Ridgewood/Glendale,All Races and Ethnicities,2019,Number,4291,405
Rego Park/Forest Hills,All Races and Ethnicities,2019,Number,1495,406
Flushing,All Races and Ethnicities,2019,Number,7005,407
Fresh Meadows/Briarwood,All Races and Ethnicities,2019,Number,5032,408
Woodhaven,All Races and Ethnicities,2019,Number,4141,409
Howard Beach,All Races and Ethnicities,2019,Number,2340,410
Bayside,All Races and Ethnicities,2019,Number,1299,411
Jamaica/St. Albans,All Races and Ethnicities,2019,Number,7452,412
Queens Village,All Races and Ethnicities,2019,Number,2761,413
The Rockaways,All Races and Ethnicities,2019,Number,8289,414
St. George,All Races and Ethnicities,2019,Number,7886,501
South Beach,All Races and Ethnicities,2019,Number,4711,502
Tottenville,All Races and Ethnicities,2019,Number,2664,503
Bronx,All Races and Ethnicities,2019,Number,132685,36005
Brooklyn,All Races and Ethnicities,2019,Number,148560,36047
Manhattan,All Races and Ethnicities,2019,Number,44589,36061
Queens,All Races and Ethnicities,2019,Number,62804,36081
Staten Island,All Races and Ethnicities,2019,Number,15261,36085
New York City,All Races and Ethnicities,2019,Number,403898,3651000
Battery Park/Tribeca,All Races and Ethnicities,2019,Percent,0.028,101
Greenwich Village,All Races and Ethnicities,2019,Percent,0.028,102
Lower East Side,All Races and Ethnicities,2019,Percent,0.431,103
Chelsea/Clinton,All Races and Ethnicities,2019,Percent,0.125,104
Midtown Business District,All Races and Ethnicities,2019,Percent,0.125,105
Murray Hill/Stuyvesant,All Races and Ethnicities,2019,Percent,0.033,106
Upper West Side,All Races and Ethnicities,2019,Percent,0.061,107
Upper East Side,All Races and Ethnicities,2019,Percent,0.046,108
Manhattanville,All Races and Ethnicities,2019,Percent,0.235,109
Central Harlem,All Races and Ethnicities,2019,Percent,0.337,110
East Harlem,All Races and Ethnicities,2019,Percent,0.43,111
Washington Heights,All Races and Ethnicities,2019,Percent,0.211,112
Mott Haven,All Races and Ethnicities,2019,Percent,0.541,201
Hunts Point,All Races and Ethnicities,2019,Percent,0.541,202
Morrisania,All Races and Ethnicities,2019,Percent,0.467,203
Concourse/Highbridge,All Races and Ethnicities,2019,Percent,0.422,204
University Heights,All Races and Ethnicities,2019,Percent,0.461,205
East Tremont,All Races and Ethnicities,2019,Percent,0.467,206
Bedford Park,All Races and Ethnicities,2019,Percent,0.428,207
Riverdale,All Races and Ethnicities,2019,Percent,0.291,208
Unionport/Soundview,All Races and Ethnicities,2019,Percent,0.375,209
Throgs Neck,All Races and Ethnicities,2019,Percent,0.145,210
Pelham Parkway,All Races and Ethnicities,2019,Percent,0.188,211
Williamsbridge,All Races and Ethnicities,2019,Percent,0.255,212
Williamsburg/Greenpoint,All Races and Ethnicities,2019,Percent,0.39,301
Fort Greene/Brooklyn Hts,All Races and Ethnicities,2019,Percent,0.185,302
Bedford Stuyvesant,All Races and Ethnicities,2019,Percent,0.342,303
Bushwick,All Races and Ethnicities,2019,Percent,0.417,304
East New York,All Races and Ethnicities,2019,Percent,0.283,305
Park Slope,All Races and Ethnicities,2019,Percent,0.071,306
Sunset Park,All Races and Ethnicities,2019,Percent,0.242,307
Crown Heights North,All Races and Ethnicities,2019,Percent,0.247,308
Crown Heights South,All Races and Ethnicities,2019,Percent,0.28,309
Bay Ridge,All Races and Ethnicities,2019,Percent,0.175,310
Bensonhurst,All Races and Ethnicities,2019,Percent,0.229,311
Borough Park,All Races and Ethnicities,2019,Percent,0.4,312
Coney Island,All Races and Ethnicities,2019,Percent,0.329,313
Flatbush/Midwood,All Races and Ethnicities,2019,Percent,0.14,314
Sheepshead Bay,All Races and Ethnicities,2019,Percent,0.143,315
Brownsville,All Races and Ethnicities,2019,Percent,0.394,316
East Flatbush,All Races and Ethnicities,2019,Percent,0.153,317
Canarsie,All Races and Ethnicities,2019,Percent,0.141,318
Astoria,All Races and Ethnicities,2019,Percent,0.165,401
Sunnyside/Woodside,All Races and Ethnicities,2019,Percent,0.093,402
Jackson Heights,All Races and Ethnicities,2019,Percent,0.205,403
Elmhurst/Corona,All Races and Ethnicities,2019,Percent,0.157,404
Ridgewood/Glendale,All Races and Ethnicities,2019,Percent,0.108,405
Rego Park/Forest Hills,All Races and Ethnicities,2019,Percent,0.078,406
Flushing,All Races and Ethnicities,2019,Percent,0.164,407
Fresh Meadows/Briarwood,All Races and Ethnicities,2019,Percent,0.142,408
Woodhaven,All Races and Ethnicities,2019,Percent,0.145,409
Howard Beach,All Races and Ethnicities,2019,Percent,0.099,410
Bayside,All Races and Ethnicities,2019,Percent,0.064,411
Jamaica/St. Albans,All Races and Ethnicities,2019,Percent,0.144,412
Queens Village,All Races and Ethnicities,2019,Percent,0.073,413
The Rockaways,All Races and Ethnicities,2019,Percent,0.24,414
St. George,All Races and Ethnicities,2019,Percent,0.21,501
South Beach,All Races and Ethnicities,2019,Percent,0.148,502
Tottenville,All Races and Ethnicities,2019,Percent,0.08,503
Bronx,All Races and Ethnicities,2019,Percent,0.383,36005
Brooklyn,All Races and Ethnicities,2019,Percent,0.254,36047
Manhattan,All Races and Ethnicities,2019,Percent,0.193,36061
Queens,All Races and Ethnicities,2019,Percent,0.14,36081
Staten Island,All Races and Ethnicities,2019,Percent,0.148,36085
New York City,All Races and Ethnicities,2019,Percent,0.236,3651000
Battery Park/Tribeca,Asian,2019,Number,104.59556,101
Greenwich Village,Asian,2019,Number,154.40444,102
Lower East Side,Asian,2019,Number,1348,103
Chelsea/Clinton,Asian,2019,Number,160.61429,104
Midtown Business District,Asian,2019,Number,80.38571,105
Murray Hill/Stuyvesant,Asian,2019,Number,371,106
Upper West Side,Asian,2019,Number,0,107
Upper East Side,Asian,2019,Number,153,108
Manhattanville,Asian,2019,Number,143,109
Central Harlem,Asian,2019,Number,192,110
East Harlem,Asian,2019,Number,193,111
Washington Heights,Asian,2019,Number,27,112
Mott Haven,Asian,2019,Number,0,201
Hunts Point,Asian,2019,Number,0,202
Morrisania,Asian,2019,Number,57.73119,203
Concourse/Highbridge,Asian,2019,Number,288,204
University Heights,Asian,2019,Number,213,205
East Tremont,Asian,2019,Number,60.26881,206
Bedford Park,Asian,2019,Number,1187,207
Riverdale,Asian,2019,Number,73,208
Unionport/Soundview,Asian,2019,Number,1040,209
Throgs Neck,Asian,2019,Number,223,210
Pelham Parkway,Asian,2019,Number,112,211
Williamsbridge,Asian,2019,Number,0,212
Williamsburg/Greenpoint,Asian,2019,Number,381,301
Fort Greene/Brooklyn Hts,Asian,2019,Number,130,302
Bedford Stuyvesant,Asian,2019,Number,187,303
Bushwick,Asian,2019,Number,0,304
East New York,Asian,2019,Number,269,305
Park Slope,Asian,2019,Number,0,306
Sunset Park,Asian,2019,Number,3614,307
Crown Heights North,Asian,2019,Number,55,308
Crown Heights South,Asian,2019,Number,0,309
Bay Ridge,Asian,2019,Number,1753,310
Bensonhurst,Asian,2019,Number,2597,311
Borough Park,Asian,2019,Number,1492,312
Coney Island,Asian,2019,Number,1756,313
Flatbush/Midwood,Asian,2019,Number,1084,314
Sheepshead Bay,Asian,2019,Number,880,315
Brownsville,Asian,2019,Number,133,316
East Flatbush,Asian,2019,Number,0,317
Canarsie,Asian,2019,Number,333,318
Astoria,Asian,2019,Number,653,401
Sunnyside/Woodside,Asian,2019,Number,1087,402
Jackson Heights,Asian,2019,Number,882,403
Elmhurst/Corona,Asian,2019,Number,573,404
Ridgewood/Glendale,Asian,2019,Number,207,405
Rego Park/Forest Hills,Asian,2019,Number,468,406
Flushing,Asian,2019,Number,4145,407
Fresh Meadows/Briarwood,Asian,2019,Number,1748,408
Woodhaven,Asian,2019,Number,1711,409
Howard Beach,Asian,2019,Number,606,410
Bayside,Asian,2019,Number,897,411
Jamaica/St. Albans,Asian,2019,Number,1684,412
Queens Village,Asian,2019,Number,442,413
The Rockaways,Asian,2019,Number,209,414
St. George,Asian,2019,Number,210,501
South Beach,Asian,2019,Number,1036,502
Tottenville,Asian,2019,Number,239,503
Bronx,Asian,2019,Number,3255,36005
Brooklyn,Asian,2019,Number,14663,36047
Manhattan,Asian,2019,Number,2927,36061
Queens,Asian,2019,Number,15312,36081
Staten Island,Asian,2019,Number,1484,36085
New York City,Asian,2019,Number,37642,3651000
Battery Park/Tribeca,Asian,2019,Percent,0.133,101
Greenwich Village,Asian,2019,Percent,0.133,102
Lower East Side,Asian,2019,Percent,0.29,103
Chelsea/Clinton,Asian,2019,Percent,0.18,104
Midtown Business District,Asian,2019,Percent,0.18,105
Murray Hill/Stuyvesant,Asian,2019,Percent,0.164,106
Upper West Side,Asian,2019,Percent,0,107
Upper East Side,Asian,2019,Percent,0.042,108
Manhattanville,Asian,2019,Percent,0.16,109
Central Harlem,Asian,2019,Percent,0.283,110
East Harlem,Asian,2019,Percent,0.173,111
Washington Heights,Asian,2019,Percent,0.076,112
Mott Haven,Asian,2019,Percent,0,201
Hunts Point,Asian,2019,Percent,0,202
Morrisania,Asian,2019,Percent,0.501,203
Concourse/Highbridge,Asian,2019,Percent,0.569,204
University Heights,Asian,2019,Percent,0.373,205
East Tremont,Asian,2019,Percent,0.501,206
Bedford Park,Asian,2019,Percent,0.64,207
Riverdale,Asian,2019,Percent,0.126,208
Unionport/Soundview,Asian,2019,Percent,0.263,209
Throgs Neck,Asian,2019,Percent,0.288,210
Pelham Parkway,Asian,2019,Percent,0.05,211
Williamsbridge,Asian,2019,Percent,0,212
Williamsburg/Greenpoint,Asian,2019,Percent,0.372,301
Fort Greene/Brooklyn Hts,Asian,2019,Percent,0.106,302
Bedford Stuyvesant,Asian,2019,Percent,0.567,303
Bushwick,Asian,2019,Percent,0,304
East New York,Asian,2019,Percent,0.207,305
Park Slope,Asian,2019,Percent,0,306
Sunset Park,Asian,2019,Percent,0.355,307
Crown Heights North,Asian,2019,Percent,0.096,308
Crown Heights South,Asian,2019,Percent,0,309
Bay Ridge,Asian,2019,Percent,0.275,310
Bensonhurst,Asian,2019,Percent,0.169,311
Borough Park,Asian,2019,Percent,0.302,312
Coney Island,Asian,2019,Percent,0.468,313
Flatbush/Midwood,Asian,2019,Percent,0.275,314
Sheepshead Bay,Asian,2019,Percent,0.153,315
Brownsville,Asian,2019,Percent,0.741,316
East Flatbush,Asian,2019,Percent,0,317
Canarsie,Asian,2019,Percent,0.145,318
Astoria,Asian,2019,Percent,0.216,401
Sunnyside/Woodside,Asian,2019,Percent,0.122,402
Jackson Heights,Asian,2019,Percent,0.159,403
